EGID;VOLUMEN
192045159;28
1600203;918
1600302;1021
210228184;131
191959791;113
210228194;354
210228213;76
191960194;60
1600205;517
210228136;254
1600201;954
1600082;1494
191960198;151
1600249;2081
210228202;111
1600185;911
1600186;1104
2331541;1005
210228297;143
1600250;883
210228298;143
1600216;1217
2331542;804
210228173;102
1600062;1034
210228092;4234
1600292;1043
1600202;763
2331544;2337
2331545;836
210228203;66
210228125;800
1600033;1175
1600005;734
1600134;2044
1600235;791
1600303;1381
210228303;132
1600007;819
1600238;893
1600237;997
1600086;4190
1600263;2181
1600264;4201
1600265;5787
1600020;791
210228099;2901
2331550;597
1600003;2214
210182692;940
1600027;784
1600006;853
3133147;3472
210228226;57
2331646;5167
2248721;5354
1600021;957
1600022;2115
1600024;1092
1600025;1069
1600030;698
1600029;3055
210214498;2133
210228199;78
3022061;980
191960189;25
1600015;1453
210228180;88
1600019;939
1600012;474
1600018;1147
1600014;550
2331557;814
1600011;745
1600017;787
1600016;1380
1600009;1377
1600010;1335
1600035;2485
210228142;421
1600036;796
1600001;1951
1600002;2203
210228123;677
1600000;1883
210228165;134
1600058;1207
1600084;1750
210228190;104
210228149;133
1600085;6949
191960197;1735
1600057;1133
1600056;2535
2331567;8840
1600054;1207
2248722;9299
210059303;14273
1600083;820
210228196;88
1600081;1020
1600080;996
1600079;3497
1600078;2297
1600074;728
1600075;1040
1600076;541
3133133;410
210228122;1087
210228181;131
3133146;1130
210228097;3911
191960188;44
3133152;865
1600047;842
1600048;865
1600055;3669
210228155;141
1600239;1417
1600052;2828
2331571;877
1600023;843
1600308;1252
210228150;263
210228299;34
1600013;3389
210228107;2933
1600060;1620
1600289;1034
1600290;1069
1600286;902
1600059;1474
1600287;898
2331653;1980
210228121;932
210228124;906
2331655;2729
210228148;399
210228185;111
210228212;41
2331656;2492
210228217;44
210228172;100
210228251;15
210228161;370
1600061;595
1600063;968
1600066;1156
1600067;1121
1600026;2158
1600072;2442
210228237;112
3133141;899
1600038;819
1600040;852
210035210;576
210228095;4397
1600037;1142
210228300;492
210228106;2092
3133151;566
1600042;953
1600043;2535
210228228;36
1600045;815
191959792;18
1600044;1458
210228102;3861
210228109;1616
1600046;972
210228111;700
1600077;9471
1600064;1297
191960186;288
191959793;139
1600092;3497
210228301;504
210228175;112
210228224;30
1600285;1224
210228089;5000
210228132;477
1600236;1235
210228302;176
1600097;1304
1600109;1089
210228084;6559
1600099;1239
191959794;614
210228144;414
210228206;78
3022062;2834
210228141;517
210228105;3133
210228189;184
1600100;1106
1600103;482
2331602;430
1600107;773
1600102;319
1600106;1914
1600104;2547
1600105;1200
210228249;18
191959795;408
1600098;1232
1600088;645
210228108;1616
1600093;2354
1600094;1255
1600095;1032
1600288;1103
1600291;1002
2331651;3507
210228304;896
210228305;214
1600149;1144
210228160;142
1600165;1742
210228101;2746
1600154;1258
1600168;577
1600169;413
191959899;301
191960184;50
1600167;1147
1600164;3849
1600146;575
2331609;1491
1600117;1218
1600124;1121
1600118;1268
1600171;2514
210228113;1296
210228230;37
1600129;1266
1600132;1281
1600139;2103
1600133;786
210228098;2001
1600138;896
1600125;682
1600135;1272
1600136;1160
1600126;1205
1600127;1693
210228140;166
1600155;629
1600145;870
1600119;875
1600131;816
1600113;1153
1600140;1163
1600114;1445
1600111;877
1600120;1140
1600122;953
1600121;1027
1600112;840
1600115;1018
1600123;1331
1600151;3237
210228208;104
210228306;220
1600175;4463
1600161;690
1600278;766
1600277;577
1600280;1352
1600273;696
210228307;90
1600274;696
210228308;90
1600162;1164
210228129;553
210228200;78
210228112;1218
1600147;840
1600163;1192
210229165;65
1600160;1017
1600156;939
210228118;1446
1600091;6624
210228168;167
210228119;929
1600174;830
201029117;1747
1600223;676
1600224;634
1600221;890
210228117;1237
1600219;560
1600222;828
210228164;242
1600218;1268
1600225;1234
3133154;1388
1600229;3906
210228743;124
2331626;458
1600228;706
1600226;580
1600227;512
1600230;2329
210228188;164
210228166;231
1600296;1474
1600294;1165
1600304;895
1600305;1047
1600247;1099
1600248;1337
1600253;1079
210059403;160
1600209;907
210228241;26
191960187;642
1600272;1205
210228100;3274
1600297;1258
1600298;1542
1600309;1287
1600269;1809
210228310;111
1600301;948
210228311;107
1600299;713
1600210;959
1600283;1764
1600233;747
1600311;1734
210228163;127
1600281;897
1600282;880
1600267;566
210228234;181
1600208;921
1600295;1115
1600214;862
1600212;630
1600211;613
1600257;862
1600256;991
1600271;958
1600261;1501
3133155;965
1600284;696
1600116;1363
1600258;1190
210228312;90
1600259;972
1600150;1423
1600251;784
1600254;1145
2331633;1031
1600157;921
210228216;66
1600217;1006
1600252;908
1600213;1076
210228245;21
210228210;73
1600143;2888
1600173;3344
210228246;38
210228238;36
210228205;50
2331634;1335
191960193;1519
191960192;231
1600144;1106
1600207;742
1600166;3288
210059425;371
3133129;1134
1600178;535
1600179;845
1600177;902
1600194;1013
1600193;694
1600199;0
210228147;173
1600198;0
1600142;853
3133130;2207
210228130;750
1600197;552
1600191;1026
210228314;84
1600192;811
210228315;81
1600196;654
210228154;236
1600195;704
191960195;681
1600306;1251
1600307;1357
1600293;1246
1600245;991
1600244;1089
1600243;1241
1600242;1512
1600241;1212
210228316;85
1600184;1007
1600181;1895
1600183;1287
1600190;2062
210228157;222
1600189;1213
1600268;565
1600200;6252
210251906;4359
1600206;543
2331641;2811
210228096;3676
1600108;1010
210228317;123
210228156;192
210228318;45
210228211;0
210228139;273
210228133;629
210228090;4395
1600270;1547
1600204;1614
210228094;4687
3022063;1488
3022064;1218
210228254;130
191961056;22
2331650;1957
1600070;1045
1600068;1956
1600069;4207
2331652;1065
210228232;37
2331654;4957
3022065;768
11517090;828
3022067;811
210228255;1823
3022068;724
210228256;914
3022069;689
2331674;676
3022070;669
3022071;669
3022072;669
3022073;676
2331657;915
2331658;875
2331659;833
2331660;833
210228257;298
1600053;866
2331662;880
2331663;873
2331664;873
210228250;8
210228143;274
3022074;792
3022075;755
3022076;768
3022077;751
3022078;793
2331684;677
3022079;677
3022080;689
3022081;684
3022082;784
3022083;1759
3022084;1086
3022085;982
3022086;978
3022087;843
3022088;843
3022089;920
2331697;203
3022090;763
2331712;3543
3022091;1530
3022092;817
3022093;756
3022094;756
3022095;764
3022096;1085
210228258;520
210228259;747
3022097;1683
2331713;929
210228116;3263
3133156;606
3022099;797
3022100;816
2331710;830
3022101;1034
3022102;1906
3022103;1147
3022104;900
3022105;695
210228260;200
3022106;695
210228261;164
3022107;695
210228262;164
3022108;992
3022109;1241
3022110;1517
210228187;193
3022111;1019
3022112;1001
3022113;1019
210059467;492
3022114;2574
210228263;220
210228227;36
210228128;212
210228127;743
3022115;1036
3022116;1036
210228153;233
3022117;1046
3022118;878
210228264;126
3022119;804
210228265;126
3133153;756
210228266;111
3022121;1210
210251908;1925
3022123;1148
3133134;1759
3022124;6699
1600215;977
3022125;1351
3022126;748
3022127;748
3022128;748
3022129;748
3022130;745
3022131;745
3022132;745
3022133;829
3022134;967
210228204;63
3133131;1183
1600180;1193
210228171;128
3133139;767
210228229;38
210059483;902
210228170;166
3022135;988
3133149;817
3022136;1140
1600231;864
9083165;1921
210228126;272
1600071;620
210228192;89
3133132;811
210228267;434
201030898;711
210228191;102
210228193;76
200295710;787
210228167;83
191961061;9
210228240;24
210228242;24
210228233;25
210228146;154
210228748;107
210059506;1117
210059507;1466
210059508;817
210228162;147
191960183;293
210228134;333
210228235;24
210228201;63
210059516;816
210228248;43
210228243;22
191960185;151
210228225;30
210228219;47
191961060;9
210228198;33
11513433;674
11513432;1354
200295709;977
210228268;768
200295699;1292
210059528;1183
210059529;1043
210228183;184
210059531;995
210228177;189
201002000;995
210228178;111
201001999;995
210228179;111
201001998;995
210228176;111
201001997;995
210228182;111
200295812;731
200295814;623
200295815;812
210228269;578
210228247;17
210228236;13
3022120;756
210228270;111
3133158;695
210228271;164
1600220;964
210228207;63
210228209;66
210059546;699
210059547;740
210059548;699
210228272;64
210059550;1033
210059551;1033
210059552;1746
210228104;1468
210059554;1226
210228273;125
210228274;230
210228275;79
210228135;931
210228195;57
210059561;3047
210059562;3063
210059563;2388
210059564;1677
210059565;1891
210059566;1573
210228277;1256
210228278;53
210228279;52
210059570;1273
210228214;55
210059572;941
210168261;1134
210168270;4768
210168271;3893
210228280;1930
210168801;1297
1600089;2547
210228281;2459
1600312;2696
210228159;177
210170150;673
210170151;655
210170152;673
210170153;760
210170154;729
210170155;767
210170156;711
210170157;823
210228282;1868
210170176;835
210171028;1884
210228145;160
191960196;2621
210171788;1365
210171794;1343
210171798;1042
210172439;981
210172452;772
210172570;679
210172571;679
210172572;662
210172573;662
210228283;528
210228284;565
210228137;257
201029116;3529
